pass_id,team,success,P_t,V_t,G_t,error_type
0,Newcastle,1,0.6653,0.2754,0.428,Success
1,Newcastle,1,0.7004,0.2733,0.4375,Success
2,Newcastle,0,0.4576,0.3959,0.4256,Structure Error — Trapped
3,Auckland FC,1,0.7713,0.2924,0.4749,Success
4,Auckland FC,0,0.4098,0.2983,0.3496,Structure Error — Trapped
5,Newcastle,0,0.3987,0.2263,0.3004,Structure Error — Trapped
6,Auckland FC,1,0.3475,0.3542,0.3508,Success
7,Auckland FC,0,0.0741,0.651,0.2197,Structure Error — Overambitious
8,Newcastle,1,0.7489,0.1506,0.3358,Success
9,Newcastle,1,0.7555,0.1651,0.3532,Success
10,Newcastle,0,0.035,0.3128,0.1047,Structure Error — Overambitious
11,Auckland FC,1,0.4918,0.5266,0.5089,Success
12,Auckland FC,1,0.2783,0.3619,0.3173,Success
13,Auckland FC,1,0.7403,0.3115,0.4802,Success
14,Auckland FC,0,0.4413,0.2634,0.3409,Structure Error — Trapped
15,Auckland FC,1,0.6458,0.245,0.3978,Success
16,Auckland FC,1,0.5575,0.2335,0.3608,Success
17,Auckland FC,0,0.3516,0.1901,0.2585,Structure Error — Trapped
18,Newcastle,1,0.6154,0.4511,0.5269,Success
19,Newcastle,1,0.7069,0.4092,0.5378,Success
20,Newcastle,1,0.7323,0.4694,0.5863,Success
21,Newcastle,1,0.7283,0.4541,0.5751,Success
22,Newcastle,1,0.6941,0.4528,0.5606,Success
23,Newcastle,1,0.7409,0.3819,0.5319,Success
24,Newcastle,1,0.7266,0.3304,0.49,Success
25,Newcastle,1,0.7151,0.3292,0.4852,Success
26,Newcastle,1,0.48,0.2601,0.3534,Success
27,Newcastle,1,0.6988,0.2661,0.4312,Success
28,Newcastle,1,0.2293,0.1922,0.2099,Success
29,Newcastle,1,0.2259,0.2668,0.2455,Success
30,Newcastle,1,0.7134,0.3362,0.4897,Success
31,Auckland FC,0,0.147,0.2231,0.1811,Structure Error — Overambitious
32,Newcastle,1,0.0996,0.5805,0.2405,Success
33,Newcastle,1,0.7213,0.5209,0.613,Success
34,Auckland FC,1,0.5093,0.155,0.281,Success
35,Auckland FC,1,0.291,0.2024,0.2427,Success
36,Auckland FC,0,0.4018,0.218,0.296,Structure Error — Trapped
37,Newcastle,1,0.555,0.4845,0.5185,Success
38,Auckland FC,0,0.4617,0.2125,0.3132,Structure Error — Trapped
39,Newcastle,1,0.5841,0.4159,0.4929,Success
40,Newcastle,1,0.688,0.4128,0.5329,Success
41,Newcastle,1,0.7254,0.4825,0.5916,Success
42,Newcastle,1,0.3982,0.425,0.4114,Success
43,Newcastle,1,0.6588,0.4941,0.5705,Success
44,Newcastle,1,0.7252,0.4102,0.5454,Success
45,Newcastle,1,0.7275,0.3636,0.5143,Success
46,Newcastle,1,0.7508,0.2955,0.471,Success
47,Newcastle,1,0.6077,0.2352,0.3781,Success
48,Newcastle,1,0.7391,0.2629,0.4408,Success
49,Newcastle,1,0.7381,0.224,0.4066,Success
50,Newcastle,1,0.7069,0.2393,0.4113,Success
51,Newcastle,1,0.7256,0.2213,0.4007,Success
52,Newcastle,1,0.6513,0.2187,0.3774,Success
53,Newcastle,1,0.4603,0.2321,0.3269,Success
54,Newcastle,1,0.7275,0.2546,0.4304,Success
55,Newcastle,1,0.3665,0.2355,0.2938,Success
56,Newcastle,1,0.5579,0.3017,0.4102,Success
57,Newcastle,1,0.7559,0.2461,0.4313,Success
58,Newcastle,1,0.7496,0.2207,0.4067,Success
59,Newcastle,1,0.7055,0.232,0.4046,Success
60,Newcastle,1,0.5944,0.2724,0.4024,Success
