pass_id,team,success,sender_number,receiver_number,sx,sy,rx,ry,ball_x,ball_y,start_frame
0,Newcastle,1,22,15.0,0.73,0.49,-21.72,0.22,0.03,-0.36,28
1,Newcastle,1,15,33.0,-22.31,1.22,-20.69,16.66,-21.26,0.84,48
2,Newcastle,0,33,22.0,-17.6,20.17,12.73,3.61,-17.13,18.2,72
3,Auckland FC,1,4,15.0,27.84,-6.4,15.93,-21.92,27.47,-6.47,202
4,Auckland FC,0,15,14.0,9.83,-32.04,-0.42,-21.06,9.65,-31.38,243
5,Newcastle,0,14,19.0,-28.54,-24.91,-18.43,-13.33,-29.73,-26.19,283
6,Auckland FC,1,14,28.0,-36.98,-29.9,-15.23,-28.01,-36.14,-29.18,301
7,Auckland FC,0,28,10.0,-44.67,-26.21,-38.42,-3.94,-44.22,-24.33,350
8,Newcastle,1,1,33.0,-47.3,-2.23,-46.71,8.52,-46.38,-1.38,387
9,Newcastle,1,33,15.0,-44.82,22.57,-47.78,9.44,-44.37,21.65,451
10,Newcastle,0,15,22.0,-48.33,12.79,-1.66,11.93,-47.3,12.28,469
11,Auckland FC,1,17,28.0,-1.82,24.28,-15.6,4.65,-3.2,21.8,526
12,Auckland FC,1,28,27.0,-12.03,11.67,-11.46,27.61,-11.87,14.01,547
13,Auckland FC,1,27,17.0,-7.67,32.34,0.57,28.65,-8.11,32.03,575
14,Auckland FC,0,17,23.0,11.44,31.16,18.41,22.55,12.36,31.78,607
15,Auckland FC,1,28,22.0,10.6,17.53,4.17,25.62,10.7,20.36,750
16,Auckland FC,1,22,6.0,7.73,24.93,14.93,20.1,8.12,24.45,772
17,Auckland FC,0,6,12.0,14.39,16.9,41.57,4.32,13.95,16.39,786
18,Newcastle,1,19,14.0,29.27,-26.39,33.57,-34.03,29.1,-26.61,990
19,Newcastle,1,17,4.0,27.19,-22.7,13.87,-31.04,27.37,-24.06,1102
20,Newcastle,1,4,15.0,11.47,-31.27,8.35,-13.65,11.38,-30.43,1122
21,Newcastle,1,15,33.0,2.9,-14.85,6.35,0.51,3.56,-15.91,1140
22,Newcastle,1,33,39.0,4.96,14.41,14.88,27.98,6.58,14.59,1192
23,Newcastle,1,39,33.0,12.15,29.54,4.04,18.19,11.73,28.34,1204
24,Newcastle,1,33,15.0,-5.23,20.57,-9.33,10.65,-4.53,19.28,1238
25,Newcastle,1,15,4.0,-12.29,10.14,-11.89,-5.16,-10.61,10.14,1249
26,Newcastle,1,4,15.0,-16.47,-7.24,-16.83,4.66,-16.18,-7.13,1269
27,Newcastle,1,15,19.0,-26.73,-2.7,-10.07,-11.12,-26.05,-4.3,1304
28,Newcastle,1,19,4.0,-16.48,-11.3,-29.92,-11.52,-17.78,-10.5,1320
29,Newcastle,1,4,7.0,-28.07,-21.24,-10.37,-16.48,-26.3,-21.23,1344
30,Newcastle,1,7,22.0,-10.58,-17.54,5.44,-6.58,-10.12,-18.69,1355
31,Auckland FC,0,4,27.0,45.56,-0.01,31.96,14.87,45.76,1.8,1463
32,Newcastle,1,22,17.0,50.75,15.09,21.44,14.85,50.01,15.77,1492
33,Newcastle,1,17,39.0,27.58,24.44,37.44,14.78,28.62,24.09,1519
34,Auckland FC,1,6,17.0,33.08,15.86,40.13,14.35,33.35,16.15,1546
35,Auckland FC,1,17,27.0,39.0,14.91,28.86,25.36,38.31,15.78,1574
36,Auckland FC,0,27,22.0,23.12,29.95,18.18,18.98,22.34,29.1,1600
37,Newcastle,1,22,37.0,26.33,16.6,29.46,14.31,25.84,16.43,1631
38,Auckland FC,0,17,22.0,34.6,17.44,19.74,18.35,34.57,17.99,1667
39,Newcastle,1,33,39.0,25.69,29.31,38.58,31.69,27.84,29.25,1731
40,Newcastle,1,39,33.0,35.52,31.33,26.76,32.41,34.63,31.0,1741
41,Newcastle,1,33,17.0,24.65,33.74,15.86,25.41,25.18,32.59,1764
42,Newcastle,1,17,4.0,13.39,27.95,1.34,6.28,13.73,27.83,1781
43,Newcastle,1,4,14.0,-1.03,2.54,14.86,-21.25,-0.25,3.24,1819
44,Newcastle,1,14,4.0,13.08,-29.68,2.7,-18.25,12.7,-28.46,1863
45,Newcastle,1,4,15.0,0.64,-24.48,-6.99,-6.33,0.96,-25.07,1882
46,Newcastle,1,15,4.0,-10.28,-12.41,-2.5,-24.68,-9.26,-13.34,1905
47,Newcastle,1,4,1.0,-9.51,-22.77,-30.56,-6.35,-9.95,-21.86,1924
48,Newcastle,1,1,33.0,-30.1,-6.38,-24.12,8.39,-28.53,-5.86,1956
49,Newcastle,1,33,15.0,-26.96,10.6,-21.75,-5.99,-26.8,8.96,1979
50,Newcastle,1,15,4.0,-34.65,12.32,-29.16,-12.33,-33.52,15.24,2051
51,Newcastle,1,4,15.0,-29.53,-9.95,-30.18,10.14,-29.14,-9.08,2127
52,Newcastle,1,15,17.0,-30.63,5.02,-18.43,8.6,-29.9,4.33,2151
53,Newcastle,1,17,15.0,-20.8,11.32,-28.01,6.69,-22.15,10.5,2185
54,Newcastle,1,15,4.0,-28.4,6.62,-25.4,-14.09,-27.64,6.27,2193
55,Newcastle,1,4,19.0,-23.71,-14.42,-15.92,-4.49,-23.66,-14.16,2224
56,Newcastle,1,19,14.0,-13.69,-12.4,-12.08,-31.62,-14.89,-13.85,2241
57,Newcastle,1,14,4.0,-14.76,-31.5,-26.06,-20.43,-15.43,-29.95,2257
58,Newcastle,1,4,15.0,-27.76,-23.06,-33.96,-6.94,-27.32,-23.54,2271
59,Newcastle,1,15,33.0,-37.03,-10.02,-30.88,12.23,-36.39,-10.76,2288
60,Newcastle,1,33,7.0,-38.25,14.86,-11.16,-11.66,-37.95,13.37,2315
61,Newcastle,1,19,14.0,-2.69,-4.68,5.75,-22.53,-2.33,-4.77,2392
