pass_id,receiver_number,player_name,rx,ry,distance,P_t,V_t,G_t,is_chosen
0,1,R. Scott,-40.71,-0.27,41.45,0.56,0.194,0.3295,False
0,4,P. Cancar,-19.33,-9.63,22.47,0.665,0.284,0.4348,False
0,15,A. Šušnjar,-21.72,0.22,22.45,0.665,0.275,0.428,True
0,14,D. Ingham,-0.64,-33.03,33.55,0.23,0.362,0.2885,False
0,33,M. Natta,-20.11,15.75,25.83,0.647,0.277,0.4235,False
0,19,C. Timmins,-6.52,6.95,9.71,0.728,0.34,0.4978,False
0,17,K. Grozos,-9.58,-5.04,11.7,0.719,0.329,0.4865,False
0,37,L. Bayliss,-0.15,8.15,7.71,0.703,0.328,0.4803,False
0,7,E. Adams,-1.09,-20.49,21.06,0.163,0.352,0.2397,False
0,39,T. Aquilina,-1.08,18.69,18.29,0.234,0.298,0.2641,False
1,1,R. Scott,-40.38,0.18,18.1,0.688,0.195,0.3663,False
1,4,P. Cancar,-21.43,-10.04,11.29,0.721,0.273,0.4432,False
1,14,D. Ingham,4.23,-32.28,42.74,0.553,0.385,0.461,False
1,33,M. Natta,-20.69,16.66,15.52,0.7,0.273,0.4375,True
1,19,C. Timmins,-4.63,7.43,18.74,0.65,0.291,0.4351,False
1,17,K. Grozos,-10.47,-2.78,12.5,0.668,0.263,0.4193,False
1,37,L. Bayliss,5.45,9.58,28.99,0.63,0.343,0.4649,False
1,7,E. Adams,4.47,-19.75,34.01,0.603,0.33,0.446,False
1,39,T. Aquilina,1.17,16.62,28.08,0.297,0.31,0.3033,False
1,22,B. Gibson,4.3,0.32,26.63,0.741,0.341,0.5029,False
2,1,R. Scott,-40.81,2.09,29.42,0.628,0.193,0.3484,False
2,4,P. Cancar,-21.29,-8.58,28.99,0.461,0.275,0.3557,False
2,15,A. Šušnjar,-24.0,5.94,15.6,0.787,0.254,0.4471,False
2,14,D. Ingham,9.59,-29.51,56.63,0.339,0.427,0.3804,False
2,19,C. Timmins,-4.66,11.04,15.84,0.699,0.313,0.4678,False
2,17,K. Grozos,-14.41,3.83,16.65,0.091,0.242,0.1484,False
2,37,L. Bayliss,14.93,10.13,34.04,0.244,0.419,0.3196,False
2,7,E. Adams,14.15,-13.74,46.45,0.464,0.377,0.4185,False
2,39,T. Aquilina,7.27,19.57,24.88,0.492,0.342,0.4102,False
2,22,B. Gibson,12.73,3.61,34.56,0.458,0.396,0.4256,True
3,12,A. Paulsen,41.06,-0.21,14.6,0.705,0.192,0.3683,False
3,23,D. Hall,24.59,13.01,19.68,0.68,0.248,0.4107,False
3,17,C. Elliott,13.39,23.42,33.14,0.607,0.257,0.3954,False
3,15,F. De Vries,15.93,-21.92,19.56,0.771,0.292,0.4749,True
3,6,L. Verstraete,11.65,11.01,23.77,0.418,0.25,0.323,False
3,28,F. Gallegos,11.67,-0.32,17.28,0.456,0.25,0.3375,False
3,27,L. Rogerson,1.23,25.99,41.92,0.035,0.353,0.1115,False
3,14,L. Gillion,-2.79,-18.87,33.07,0.171,0.351,0.2447,False
3,22,J. Brimmer,0.43,3.08,29.0,0.373,0.319,0.3449,False
3,10,G. May,-8.06,9.56,39.29,0.036,0.344,0.1107,False
4,12,A. Paulsen,41.52,-4.02,42.3,0.555,0.19,0.325,False
4,23,D. Hall,24.31,3.88,38.73,0.14,0.261,0.191,False
4,4,N. Pijnaker,23.35,-17.65,19.74,0.712,0.238,0.412,False
4,17,C. Elliott,12.19,18.45,50.55,0.059,0.285,0.1302,False
4,6,L. Verstraete,8.03,3.42,35.51,0.432,0.303,0.3617,False
4,28,F. Gallegos,9.45,-16.51,15.53,0.416,0.252,0.3239,False
4,27,L. Rogerson,-4.85,17.31,51.49,0.05,0.407,0.1421,False
4,14,L. Gillion,-0.42,-21.06,15.02,0.41,0.298,0.3496,True
4,22,J. Brimmer,-1.91,-4.98,29.5,0.038,0.324,0.1107,False
4,10,G. May,-9.57,2.17,39.33,0.068,0.367,0.1583,False
5,1,R. Scott,-43.88,-7.85,22.94,0.483,0.18,0.2953,False
5,4,P. Cancar,-28.71,-19.31,5.6,0.616,0.211,0.3602,False
5,15,A. Šušnjar,-24.68,-8.52,16.84,0.633,0.25,0.3979,False
5,33,M. Natta,-24.18,2.01,27.27,0.434,0.218,0.3073,False
5,19,C. Timmins,-18.43,-13.33,15.37,0.399,0.226,0.3004,True
5,17,K. Grozos,-6.43,-24.62,22.11,0.362,0.262,0.3078,False
5,37,L. Bayliss,8.99,-12.2,39.62,0.338,0.445,0.3876,False
5,7,E. Adams,-0.5,-32.6,29.08,0.316,0.27,0.292,False
5,39,T. Aquilina,-4.57,6.01,39.12,0.17,0.346,0.2425,False
5,22,B. Gibson,9.71,-21.47,38.4,0.38,0.418,0.3986,False
6,12,A. Paulsen,35.02,-4.56,76.33,0.042,0.217,0.0959,False
6,23,D. Hall,9.07,-4.67,52.51,0.276,0.325,0.2991,False
6,4,N. Pijnaker,10.48,-20.84,48.32,0.017,0.251,0.0645,False
6,17,C. Elliott,1.82,10.25,55.83,0.26,0.396,0.3204,False
6,15,F. De Vries,-6.55,-29.77,30.43,0.409,0.346,0.3761,False
6,6,L. Verstraete,-6.8,-6.1,38.44,0.35,0.452,0.3979,False
6,28,F. Gallegos,-15.23,-28.01,21.83,0.348,0.354,0.3508,True
6,27,L. Rogerson,-20.83,7.48,40.72,0.149,0.549,0.2864,False
6,22,J. Brimmer,-26.39,-19.18,15.07,0.537,0.46,0.497,False
6,10,G. May,-29.45,-4.08,26.9,0.221,0.573,0.3559,False
7,12,A. Paulsen,29.84,-3.71,77.83,0.105,0.239,0.1585,False
7,23,D. Hall,0.38,-4.54,49.99,0.011,0.391,0.0648,False
7,4,N. Pijnaker,-0.27,-18.19,45.12,0.052,0.304,0.1261,False
